judul,label,isi
"UPDATE 22 April: Bertambah 12, Total Kasus Covid-19 di Tangerang Tembus 74.164",Megapolitan," - Dinas Kesehatan Kota Tangerang melaporkan 12 kasus baru Covid-19 pada Jumat (22/4/2022).,Dengan demikian, total kasus Covid-19 di Kota Tangerang hingga kini sebanyak 74.164 kasus.,Pasien yang masih dirawat atau menjalani isolasi mandiri (kasus aktif) berkurang 11 orang sehingga berjumlah 124 orang.,Berdasarkan data Dinas Kesehatan, pasien yang sembuh dari Covid-19 bertambah 23 orang sehingga berjumlah 73.449 orang.,Sementara itu, jumlah pasien yang meninggal karena Covid-19 tetap berjumlah 591 orang.,Kecamatan Cipondoh menjadi wilayah yang memiliki total kasus Covid-19 tertinggi, yakni sebanyak 9.242 kasus. Kemudian, Kecamatan Karawaci sebanyak 7.946 kasus.,Seluruh data terkait Covid-19 Kota Tangerang dapat diakses melalui situs web ,."
2 Remaja Bawa Celurit Ditangkap Saat Hendak Tawuran di Kebayoran Baru,Megapolitan," - Polsek Kebayoran Baru menangkap dua remaja yang kedapatan membawa celurit dan diduga hendak tawuran dengan kelompok lain.,Penangkapan terjadi di Jalan Antasari, tepat di depan ,, Kebayoran Baru, Jakarta Selatan, Sabtu (23/4/2022) dini hari.,Kapolsek Kebayoran Baru, Kompol Donni Bagus Wibisono menjelaskan, penangkapan kedua remaja yang diduga masih di bawah umur itu terjadi saat anggotanya sedang patroli di lokasi.,Petugas melihat sekelompok remaja yang melarikan diri masuk ke permukiman warga.,""Kita lakukan penelusuran lebih dalan ternyata ada anak yang ketinggalan ditemukan ada dua bilah arit dan dua kendaraan bermotor yang ditinggalkan,"" ucap Donni saat dikonfirmasi, Sabtu.,Kini, kedua remaja itu telah dibawa ke Polsek Kebayoran Baru untuk memberikan keterangan lebih lanjut.,Berdasarkan penyelidikan sementara, remaja itu akan melakukan aksi tawuran dengan memprovokasi kelompok lain.,""Belum bentrok, masih memprovokasi. Mereka mancing-mancing,"" ucap Donni.,Donni mengatakan, penyidik akan mendalami keterangan kedua remaja terkait adanya aksi tawuran remaja yang terjadi sehari sebelumnya atau Jumat (22/4/2022) dini hari.,""Mungkin (ada kaitan dengan tawuran kemarin), pasti kita dalami dari kita juga sudah mengumpulkan beberapa bukti,"" ucap Donni."
"""Perempuan yang Nangis Histeris ke Jokowi itu Pedagang Ilegal, Selalu Melawan Saat Ditertibkan""",Megapolitan,"- Direktur Utama (Dirut) Perumda Pasar Pakuan Jaya Muzakkir angkat bicara soal video viral yang memperlihatkan pedagang pasar Bogor mengadu sambil menangis histeris kepada Presiden Joko Widodo.,Momen dalam video itu direkam saat Jokowi mengunjungi Pasar Bogor pada Kamis (21/4/2022), untuk membagikan paket bantuan sosial.,Dalam video tersebut, seorang pedagang perempuan dan laki-laki mengaku bahwa paman mereka bernama , ditangkap polisi akibat menolak pungutan liar (pungli).,Pedagang perempuan itu pun sampai menangis histeris saat mengadukan hal itu ke Jokowi. ,Muzakkir pun menjelaskan bahwa kedua pedagang itu adalah pedagang ilegal di Pasar Bogor. ,""Kalau kemarin seakan menangis ngomong ke Jokowi itu pedagang pasar ilegal yang ditertibkan Satpol PP selalu melawan, saya punya videonya,"" kata Muzakkir dilansir dari Tribun Bogor, Sabtu (23/4/2022).,Menurut Muzakkir, mereka termasuk dengan pamannya Ujang Sarjana yang kini dipenjara adalah pedagang kaki lima (PKL), yang tak punya lapak resmi. ,Kasus tindak pidana yang melibatkan Ujang pun disebut dipicu akibat rebutan lapak dengan pedagang lain. ,Menurut dia, Ujang dan sejumlah rekannya melakukan pengeroyokan terhadap pedagang lain hingga berujung dilaporkan ke polisi. Peristiwa itu terjadi pada November 2021 lalu.  ,""Kasus itu saya dengar ribut sesama PKL, rebutan lapak, akhirnya pengeroyokan, ada yang lapor polisi,"" kata Muzakkir. "
"Ada Posko Pengaduan THR di Kantor Sudin Naker Jakut, Ini Jam Operasionalnya",Megapolitan," Layanan Posko Pengaduan , (THR) 2022 dibuka oleh Suku Dinas (Sudin) Tenaga Kerja, Transmigrasi, dan Energi Kota Jakarta Utara untuk para pekerja yang mengalami masalah THR dari perusahaan tempatnya bekerja. , ""Posko tersebut akan menerima sekaligus memproses tindak lanjut aduan pekerja yang mengalami masalah penerimaan THR,"" ujar Pelaksana Tugas (Plt) Kepala Suku Dinas Tenaga Kerja, Transmigrasi, dan Energi Jakarta Utara Siti Nurbaiti, dikutip dari siaran pers, Sabtu (23/4/2022). , Siti mengatakan, , tersebut dibuka di kantor Sudin Tenaga Kerja, Transmigrasi, dan Energi Jakarta Utara setiap pukul 08.00 hingga 15.00 WIB., Sementara itu, Kepala Seksi Hubungan Industrial dan Kesejahteraan Pekerja Sudin Tenaga Kerja, Transmigrasi, dan Energi Jakarta Utara Yannasrizal mengatakan, aduan yang disampaikan di posko akan segera ditindaklanjuti sesuai tahapan ketentuan yang berlaku., Mulai dari memanggil manajemen perusahaan untuk mengklarifikasi dan mempertanggungjawabkan sesuai kewajiban perusahaan., ""Yang mengadukannya bisa pekerja perorangan atau melalui serikat pekerja. Kasus yang diadukan bisa karena tidak dapat THR atau mendapatkan THR tapi tidak penuh atau seperti hanya 50 persen dari hak yang seharusnya diterima,"" kata dia., Selain melalui posko, aduan juga bisa diakses secara daring melalui http://poskothr.kemnaker.go.id., Rencananya, kata dia, posko tersebut akan dibuka sampai hingga sehabis Idul Fitri 1443 Hijriah."
"Diduga Korsleting Listrik, Ruang Logistik Masjid di Pulogadung Terbakar",Megapolitan," Ruang logistik ,Nurul Iman di Jalan Nurul Iman, Kelurahan Cipinang, Kecamatan Pulogadung, terbakar pada Sabtu (23/4/2022) dini hari. , Kasie Operasi Sudin Gulkarmat Jakarta Timur Gatot Sulaeman menjelaskan, peristiwa terbakarnya ruang logistik ,itu terjadi sekitar pukul 02.49 WIB. , Kebakaran ruangan seluas 18 meter persegi itu terjadi diduga karena korsleting listrik dari stop kontak., ""Sebab kebakaran diduga karena korsleting listrik dari stop kontak,"" ujar Gatot dalam keterangannya, Sabtu., Gatot menjelaskan, kebakaran itu pertama kali diketahui oleh jemaah masjid yang sedang beribadah itikaf mendengar suara ledakan lalu muncul api membakar ruangan logistik itu. , ""Salah satu warga sedang iktikaf di Masjid Nurul Iman, tiba tiba terjadi mendengar ledakan dan percikan api dari ruangan logistik,"" ucap Gatot, Petugas pemadam kebakaran yang saat itu mendapatkan laporan lalu menurunkan lima unit mobil dan 15 personel. Namun ternyata api berhasil dipadamkan oleh dalam waktu sekitar 15 menit. , ""Sudah dipadamkan oleh warga, petugas hanya mengambil data dan dokumentasi,"" kata Gatot."
Ini 21 Kandidat Calon Hakim Agung dan Calon Hakim Ad Hoc Tipikor yang Masuk Seleksi Tahap Akhir,Nasional," , Komisi Yudisial (KY) kembali mengumumkan kandidat yang lolos seleksi tahap ketiga , (CHA) dan Calon Hakim Ad Hoc Tindak Pidana Korupsi (Tipikor) tahun 2021-2022., Ketua Bidang Rekrutmen Hakim Siti Nurdjanah menyampaikan terdapat 21 kandidat yang dinyatakan berhak melanjutkan seleksi ke tahap berikutnya., Keputusan itu diambil dalam rapat pleno KY yang berlangsung Kamis (21/4/2022)., Hasilnya tertuang dalam surat pengumuman KY Nomor nomor 03/PIM/RH.01.04/04/2022 dan 04/PIM/RH.04.04/04/2022., Para kandidat terpilih saat ini telah melewati tiga proses seleksi yaitu administratif, kualitas, dan kesehatan serta kepribadian., Seleksi berikutnya adalah tes wawancara yang bakal berlangsung 25 sampai 28 April 2022 pekan depan., Pasca proses wawancara selesai, KY akan kembali menggelar rapat pleno untuk menjaring 11 kandidat yang terdiri dari 8 orang CHA dan 3 orang Calon Hakim Ad Hoc Tipikor., Kemudian KY akan menyerahkan hasil seleksi itu pada DPR untuk disetujui sebelum akhirnya dilantik oleh Presiden dan Ketua MA.,Juru Bicara KY Miko Ginting meminta para kandidat tidak tergiur dengan pihak-pihak yang berusaha menawarkan bantuan untuk memperlancar proses seleksi.,Ia menegaskan pihak itu bukan merupakan bagian dari KY., Miko berharap para kandidat dan masyarakat turut mengawasi jalannya proses seleksi dan melaporkan jika ada pihak tak bertanggung jawab untuk menawarkan bantuan., “Mohon mengabaikan semua permintaan atau informasi yang mengatasnamakan Komisi Yudisial, yang menjanjikan mempermudah atau mengamankan kelulusan,” ucapnya dalam konferensi pers virtual, Jumat (22/4/2022).,Proses seleksi kesehatan dan kepribadian telah dilakukan sejak akhir Februari 2022.,Ketua KY Mukti Fajar Nur Dewata menjelaskan salah satu prosesnya adalah menelusuri rekam jejak para kandidat., “Penulisan rekam jejak dan klarifikasi yang kita lakukan sejak akhir Februari hingga 20 April 2022,” ungkap dia. , Pencarian rekam jejak merupakan tahapan yang melengkapi tes asesmen kepribadian dan pemeriksaan kesehatan., Ia menuturkan proses asesmen dan kompetensi kepribadian telah berlangsung 1 sampai 11 Maret 2022."
"Jadwal Imsakiyah di Kota Bekasi, Sabtu, 23 April 2022",Megapolitan," - Selamat menjalankan ibadah puasa. Hari ini, Sabtu (23/4/2022), adalah hari ke-21 ibadah puasa pada bulan Ramadhan 1443 Hijriah., Setiap wilayah seluruh Indonesia memiliki masing-masing jadwal imsak sebagai pengingat sahur sebelum menjalankan ibadah puasa.,menyediakan informasi jadwal imsak setiap hari hingga akhir Ramadhan berdasarkan situs resmi Direktorat Jenderal Bimbingan Masyarakat Islam Kementerian Agama., Berikut jadwal imsakiyah dan jadwal shalat bagi Anda yang berada di wilayah Kota Bekasi, pada Sabtu ini:, , , Imsak: 04:27 WIB, Subuh: 04:36 WIB, Dzuhur: 11:54 WIB, Ashar: 15:13 WIB, Maghrib: 17:52 WIB"
"AHY Lantik Emil Dardak Jadi Ketua DPD Demokrat Jatim, Anak LaNyalla dan Khofifah Wakil Ketua",Nasional," Ketua Umum Partai Demokrat , (,) melantik ratusan pengurus DPD Partai Demokrat Provinsi Jawa Timur pada Jumat (22/4/2022)., Salah satu yang dilantik yaitu Wakil Gubernur Jawa Timur Emil Elestianto Dardak yang didapuk sebagai Ketua DPD Partai Demokrat Jawa Timur periode 2022-2027., Pelantikan ini diwarnai dengan wajah baru dan tokoh muda di antaranya putra Gubernur Jawa Timur Khofifah Indar Parawansa, Ali Mannagalli Parawansa yang kini bergabung Demokrat sebagai Wakil Ketua DPD Jawa Timur, ""Benar, sebagai salah satu wakil ketua,"" kata Mannagalli dalam keterangannya, Jumat., Selain putra Khofifah, anak Ketua DPD RI LaNyalla Mattalitti, Ali Afandi juga tercatat di kepengurusan periode 2022-2026 sebagai Wakil Ketua DPD Demokrat Jawa Timur., Kemudian, sejumlah kepala daerah di Jawa Timur juga masuk di pengurus DPD Demokrat Jawa Timur. Mulai dari Bupati Lamongan Yuhronur Efendi, Walikota Malang Sutiadji, Bupati Pacitan Indarta Nur Bayuaji, Wakil Bupati Tuban Riyadi, Wakil Bupati Mojokerto Muhammad Al Barra hingga Wakil Bupati Trenggalek Syah Muhammad Natanegara., Berdasarkan keterangan rilis yang diterima, mereka tercatat di jajaran wakil ketua DPD., Selain itu, Bupati Mojokerto Ikfina Fatmawati, Bupati Magetan Suprawoto, Walikota Madiun Maidi, dan Bupati Ngawi Ony Anwar juga turut bergabung dalam kepengurusan Emil Dardak., Terdapat lebih dari 170 pengurus DPD Partai Demokrat yang dilantik AHY pada Jumat sore. Pengurus baru DPD ini juga diklaim 64 persen berusia di bawah 40 tahun."
Gus Halim Minta Jajaran Kemendesa PDTT Percepat Capaian Indikator SDGs Desa,Nasional,"– Menteri , Pembangunan Daerah Tertinggal dan Transmigrasi (Menteri Desa ,) Abdul , Iskandar meminta seluruh jajaran Kementerian Desa Pembangunan Daerah Tertinggal dan Transmigrasi (, PDTT) mempercepat capaian indikator primer Sustainable Development Goals (,) Desa.,“Tahun ini, harus kian banyak capaian indikator-indikator SDGs Desa di masing-masing , di Indonesia. Dengan demikian, desa-desa Indonesia diharapkan kian maju sesuai dengan potensi dan kapasitas masing-masing,” ujarnya.,Pria yang akrab disapa Gus Halim itu mengatakan hal tersebut dalam acara Tindak Lanjut Rapat Kerja Kemendesa PDTT Tahun 2022, Jumat (22/4/2022).,Dia menegaskan, semua pekerjaan dari level eselon I atau sekretaris jenderal (sekjen) sampai staf dan pendamping desa harus meningkatkan rangkaian kegiatan yang mendukung percepatan pencapaian SDGs Desa sesuai dengan kondisi lokal desa.,Gus Halim menjelaskan, haluan setiap kebijakan, teknis, termasuk dinamika dalam pembangunan desa melalui SDGs Desa, harus terpadu dan termaktub dalam setiap perangkat arah kebijakan Kemendesa PDTT.,""Oleh karena itu, arah kebijakan pembangunan desa dan perdesaan serta perubahan paradigma dan cara kerja harus tercermin dalam setiap dokumen perencanaan Kemendesa PDTT,"" katanya dalam siaran pers yang diterima Kompas.com.,Sejalan dengan tujuan tersebut, lanjut Gus Halim, standardisasi kebijakan anggaran harus sesuai dengan tujuan utama SDGs Desa.,Dia berharap, anggaran yang dikeluarkan tetap menjangkau seluruh kekurangan yang menjadi kebutuhan warga desa. Kebijakan anggaran juga harus dikawal dan dimonitor secara berkala.,""Anggaran yang dikeluarkan harus bisa dipertanggungjawabkan untuk pencapaian SDGs Desa. Karena itulah, para pejabat tinggi madya yang dipimpin sekjen segera melakukan penataan ulang terhadap anggaran masing-masing unit kerja,” pintanya.,Dengan begitu, lanjutnya, anggaran Kemendesa PDTT yang terbatas tetap memberikan dampak yang luas dan langsung dirasakan warga desa."
"Cerita Amanda Tan Bergabung Jadi Relawan LaporCovid-19, Ikut Terguncang Ketika Gagal Bantu Warga...",Megapolitan," Ingin membuat penanganan Covid-19 di Indonesia menjadi lebih baik menjadi alasan utama Amanda Tan bergabung dalam platform ,., Bermodalkan jiwa sosial yang ia punya sejak mengenyam bangku perguruan tinggi, ia pun ingin ikut andil membantu memperbaiki penanganan Covid-19 di Tanah Air., ""Saya bingung banget menghadapi Covid-19 ini bagaimana. Jadi ada yang bilang terkendali ada yang bilang enggak terkendali narasi itu kan sangat polarisasi,"" kata Amanda kepada Kompas.com, Jumat (22/4/2022)., ""Pemerintah pusat mengatakan terkendali, pemerintah daerah DKI bilang enggak terkendali,"" ujar dia., Didasari rasa bingung melihat penanganan Covid-19 ini, Amanda melihat LaporCovid-19 menjadi platform penyedia informasi yang independen., Hingga akhirnya ia ingin belajar mencatat informasi yang independen dari LaporCovid-19, berdasarkan laporan warga., ""Jadi saya bingung mencari informasi itu ke mana? saat itu LaporCovid menyediakan informasi yang independen dan kemudian saya penasaran bagaimana cara mencatat informasi independen,"" ungkapnya., Ia pun akhirnya bergabung sebagai anggota tim advokasi laporan warga, ia banyak menangani laporan warga yang bermasalah dalam mengakses fasilitas kesehatan selama pandemi Covid-19., Mulai dari masalah kesulitan untuk mendapatkan kamar rumah sakit, vaksinasi, penerapan protokol kesehatan hingga penerimaan bantuan sosial (Bansos)., ""Kebanyakan (laporan warga) dari Jabodetabek. Tapi kami juga dapat dari Aceh, Papua, tapi paling banyak itu Jabodetabek,"" kata Amanda."
